#           k/h    P           
   0.405520E-03   0.160801E+04
   0.413712E-03   0.163915E+04
   0.422070E-03   0.167088E+04
   0.430596E-03   0.170321E+04
   0.439295E-03   0.173615E+04
   0.448169E-03   0.176973E+04
   0.457222E-03   0.180394E+04
   0.466459E-03   0.183880E+04
   0.475882E-03   0.187433E+04
   0.485496E-03   0.191052E+04
   0.495303E-03   0.194740E+04
   0.505309E-03   0.198498E+04
   0.515517E-03   0.202327E+04
   0.525931E-03   0.206228E+04
   0.536556E-03   0.210203E+04
   0.547395E-03   0.214252E+04
   0.558453E-03   0.218378E+04
   0.569734E-03   0.222581E+04
   0.581244E-03   0.226863E+04
   0.592986E-03   0.231225E+04
   0.604965E-03   0.235668E+04
   0.617186E-03   0.240195E+04
   0.629654E-03   0.244806E+04
   0.642374E-03   0.249503E+04
   0.655350E-03   0.254287E+04
   0.668589E-03   0.259160E+04
   0.682096E-03   0.264124E+04
   0.695875E-03   0.269179E+04
   0.709933E-03   0.274328E+04
   0.724274E-03   0.279571E+04
   0.738906E-03   0.284912E+04
   0.753832E-03   0.290350E+04
   0.769061E-03   0.295888E+04
   0.784597E-03   0.301527E+04
   0.800447E-03   0.307270E+04
   0.816617E-03   0.313117E+04
   0.833114E-03   0.319070E+04
   0.849944E-03   0.325132E+04
   0.867114E-03   0.331303E+04
   0.884631E-03   0.337586E+04
   0.902501E-03   0.343982E+04
   0.920733E-03   0.350493E+04
   0.939333E-03   0.357120E+04
   0.958309E-03   0.363867E+04
   0.977668E-03   0.370733E+04
   0.997418E-03   0.377722E+04
   0.101757E-02   0.384835E+04
   0.103812E-02   0.392074E+04
   0.105910E-02   0.399440E+04
   0.108049E-02   0.406936E+04
   0.110232E-02   0.414563E+04
   0.112459E-02   0.422323E+04
   0.114730E-02   0.430218E+04
   0.117048E-02   0.438250E+04
   0.119413E-02   0.446421E+04
   0.121825E-02   0.454733E+04
   0.124286E-02   0.463187E+04
   0.126797E-02   0.471786E+04
   0.129358E-02   0.480530E+04
   0.131971E-02   0.489423E+04
   0.134637E-02   0.498466E+04
   0.137357E-02   0.507661E+04
   0.140132E-02   0.517009E+04
   0.142963E-02   0.526512E+04
   0.145851E-02   0.536173E+04
   0.148797E-02   0.545993E+04
   0.151803E-02   0.555974E+04
   0.154870E-02   0.566117E+04
   0.157998E-02   0.576425E+04
   0.161190E-02   0.586899E+04
   0.164446E-02   0.597540E+04
   0.167768E-02   0.608351E+04
   0.171158E-02   0.619332E+04
   0.174615E-02   0.630487E+04
   0.178143E-02   0.641815E+04
   0.181741E-02   0.653319E+04
   0.185413E-02   0.665000E+04
   0.189158E-02   0.676859E+04
   0.192980E-02   0.688899E+04
   0.196878E-02   0.701119E+04
   0.200855E-02   0.713522E+04
   0.204913E-02   0.726109E+04
   0.209052E-02   0.738880E+04
   0.213276E-02   0.751837E+04
   0.217584E-02   0.764981E+04
   0.221979E-02   0.778313E+04
   0.226464E-02   0.791834E+04
   0.231039E-02   0.805544E+04
   0.235706E-02   0.819444E+04
   0.240467E-02   0.833535E+04
   0.245325E-02   0.847817E+04
   0.250281E-02   0.862292E+04
   0.255337E-02   0.876958E+04
   0.260495E-02   0.891816E+04
   0.265758E-02   0.906867E+04
   0.271126E-02   0.922110E+04
   0.276603E-02   0.937546E+04
   0.282191E-02   0.953173E+04
   0.287892E-02   0.968992E+04
   0.293708E-02   0.985003E+04
   0.299641E-02   0.100120E+05
   0.305694E-02   0.101759E+05
   0.311870E-02   0.103417E+05
   0.318170E-02   0.105094E+05
   0.324597E-02   0.106790E+05
   0.331155E-02   0.108503E+05
   0.337844E-02   0.110236E+05
   0.344669E-02   0.111986E+05
   0.351632E-02   0.113755E+05
   0.358735E-02   0.115541E+05
   0.365982E-02   0.117344E+05
   0.373376E-02   0.119165E+05
   0.380918E-02   0.121003E+05
   0.388613E-02   0.122858E+05
   0.396464E-02   0.124729E+05
   0.404473E-02   0.126616E+05
   0.412644E-02   0.128519E+05
   0.420980E-02   0.130437E+05
   0.429484E-02   0.132369E+05
   0.438160E-02   0.134317E+05
   0.447012E-02   0.136278E+05
   0.456042E-02   0.138252E+05
   0.465255E-02   0.140240E+05
   0.474653E-02   0.142240E+05
   0.484242E-02   0.144252E+05
   0.494024E-02   0.146275E+05
   0.504004E-02   0.148308E+05
   0.514186E-02   0.150351E+05
   0.524573E-02   0.152404E+05
   0.535170E-02   0.154465E+05
   0.545981E-02   0.156533E+05
   0.557011E-02   0.158608E+05
   0.568263E-02   0.160689E+05
   0.579743E-02   0.162775E+05
   0.591455E-02   0.164865E+05
   0.603403E-02   0.166959E+05
   0.615592E-02   0.169056E+05
   0.628028E-02   0.171153E+05
   0.640715E-02   0.173251E+05
   0.653658E-02   0.175347E+05
   0.666863E-02   0.177441E+05
   0.680335E-02   0.179530E+05
   0.694078E-02   0.181614E+05
   0.708100E-02   0.183691E+05
   0.722404E-02   0.185760E+05
   0.736998E-02   0.187820E+05
   0.751886E-02   0.189869E+05
   0.767075E-02   0.191906E+05
   0.782571E-02   0.193930E+05
   0.798380E-02   0.195938E+05
   0.814509E-02   0.197930E+05
   0.830963E-02   0.199904E+05
   0.847750E-02   0.201858E+05
   0.864875E-02   0.203790E+05
   0.882347E-02   0.205699E+05
   0.900171E-02   0.207582E+05
   0.918356E-02   0.209438E+05
   0.936908E-02   0.211265E+05
   0.955835E-02   0.213059E+05
   0.975144E-02   0.214821E+05
   0.994843E-02   0.216546E+05
   0.101494E-01   0.218233E+05
   0.103544E-01   0.219881E+05
   0.105636E-01   0.221485E+05
   0.107770E-01   0.223045E+05
   0.109947E-01   0.224558E+05
   0.112168E-01   0.226021E+05
   0.114434E-01   0.227433E+05
   0.116746E-01   0.228790E+05
   0.119104E-01   0.230090E+05
   0.121510E-01   0.231331E+05
   0.123965E-01   0.232510E+05
   0.126469E-01   0.233625E+05
   0.129024E-01   0.234672E+05
   0.131631E-01   0.235650E+05
   0.134290E-01   0.236556E+05
   0.137003E-01   0.237387E+05
   0.139770E-01   0.238140E+05
   0.142594E-01   0.238813E+05
   0.145474E-01   0.239403E+05
   0.148413E-01   0.239909E+05
   0.151411E-01   0.240326E+05
   0.154470E-01   0.240653E+05
   0.157590E-01   0.240887E+05
   0.160774E-01   0.241026E+05
   0.164022E-01   0.241068E+05
   0.167335E-01   0.241010E+05
   0.170716E-01   0.240851E+05
   0.174164E-01   0.240588E+05
   0.177683E-01   0.240219E+05
   0.181272E-01   0.239743E+05
   0.184934E-01   0.239158E+05
   0.188670E-01   0.238462E+05
   0.192481E-01   0.237655E+05
   0.196370E-01   0.236736E+05
   0.200337E-01   0.235703E+05
   0.204384E-01   0.234556E+05
   0.208513E-01   0.233294E+05
   0.212725E-01   0.231919E+05
   0.217022E-01   0.230430E+05
   0.221406E-01   0.228827E+05
   0.225879E-01   0.227111E+05
   0.230442E-01   0.225284E+05
   0.235097E-01   0.223348E+05
   0.239847E-01   0.221303E+05
   0.244692E-01   0.219153E+05
   0.249635E-01   0.216901E+05
   0.254678E-01   0.214549E+05
   0.259823E-01   0.212102E+05
   0.265072E-01   0.209562E+05
   0.270426E-01   0.206934E+05
   0.275889E-01   0.204224E+05
   0.281463E-01   0.201438E+05
   0.287149E-01   0.198579E+05
   0.292949E-01   0.195655E+05
   0.298867E-01   0.192672E+05
   0.304905E-01   0.189636E+05
   0.311064E-01   0.186556E+05
   0.317348E-01   0.183439E+05
   0.323759E-01   0.180293E+05
   0.330299E-01   0.177125E+05
   0.336972E-01   0.173943E+05
   0.343779E-01   0.170757E+05
   0.350724E-01   0.167575E+05
   0.357809E-01   0.164404E+05
   0.365038E-01   0.161253E+05
   0.372412E-01   0.158132E+05
   0.379935E-01   0.155050E+05
   0.387610E-01   0.152016E+05
   0.395440E-01   0.149039E+05
   0.403429E-01   0.146124E+05
   0.411579E-01   0.143277E+05
   0.419893E-01   0.140501E+05
   0.428375E-01   0.137799E+05
   0.437029E-01   0.135176E+05
   0.445858E-01   0.132636E+05
   0.454865E-01   0.130190E+05
   0.464053E-01   0.127845E+05
   0.473428E-01   0.125609E+05
   0.482992E-01   0.123488E+05
   0.492749E-01   0.121479E+05
   0.502703E-01   0.119571E+05
   0.512858E-01   0.117756E+05
   0.523219E-01   0.116025E+05
   0.533789E-01   0.114370E+05
   0.544572E-01   0.112782E+05
   0.555573E-01   0.111253E+05
   0.566796E-01   0.109778E+05
   0.578246E-01   0.108348E+05
   0.589927E-01   0.106951E+05
   0.601845E-01   0.105580E+05
   0.614003E-01   0.104223E+05
   0.626407E-01   0.102869E+05
   0.639061E-01   0.101502E+05
   0.651971E-01   0.100111E+05
   0.665142E-01   0.986799E+04
   0.678578E-01   0.971911E+04
   0.692287E-01   0.956272E+04
   0.706272E-01   0.939734E+04
   0.720539E-01   0.922202E+04
   0.735095E-01   0.903611E+04
   0.749945E-01   0.883921E+04
   0.765095E-01   0.863171E+04
   0.780551E-01   0.841429E+04
   0.796319E-01   0.818793E+04
   0.812406E-01   0.795442E+04
   0.828817E-01   0.771565E+04
   0.845561E-01   0.747367E+04
   0.862642E-01   0.723079E+04
   0.880068E-01   0.698918E+04
   0.897847E-01   0.675109E+04
   0.915985E-01   0.651865E+04
   0.934489E-01   0.629399E+04
   0.953367E-01   0.607930E+04
   0.972626E-01   0.587653E+04
   0.992274E-01   0.568737E+04
   0.101232E+00   0.551335E+04
   0.103277E+00   0.535574E+04
   0.105363E+00   0.521480E+04
   0.107492E+00   0.509043E+04
   0.109663E+00   0.498193E+04
   0.111879E+00   0.488732E+04
   0.114139E+00   0.480448E+04
   0.116445E+00   0.473052E+04
   0.118797E+00   0.466219E+04
   0.121197E+00   0.459624E+04
   0.123645E+00   0.452928E+04
   0.126143E+00   0.445824E+04
   0.128691E+00   0.438051E+04
   0.131291E+00   0.429397E+04
   0.133943E+00   0.419750E+04
   0.136649E+00   0.409062E+04
   0.139409E+00   0.397409E+04
   0.142226E+00   0.384924E+04
   0.145099E+00   0.371826E+04
   0.148030E+00   0.358373E+04
   0.151020E+00   0.344895E+04
   0.154071E+00   0.331736E+04
   0.157184E+00   0.319263E+04
   0.160359E+00   0.307810E+04
   0.163598E+00   0.297657E+04
   0.166903E+00   0.288864E+04
   0.170275E+00   0.281376E+04
   0.173715E+00   0.275054E+04
   0.177224E+00   0.269657E+04
   0.180804E+00   0.264870E+04
   0.184457E+00   0.260386E+04
   0.188183E+00   0.255879E+04
   0.191985E+00   0.251020E+04
   0.195863E+00   0.245523E+04
   0.199820E+00   0.239259E+04
   0.203856E+00   0.232268E+04
   0.207974E+00   0.224738E+04
   0.212176E+00   0.216938E+04
   0.216462E+00   0.209180E+04
   0.220835E+00   0.201777E+04
   0.225296E+00   0.194995E+04
   0.229847E+00   0.189010E+04
   0.234490E+00   0.183870E+04
   0.239227E+00   0.179490E+04
   0.244060E+00   0.175683E+04
   0.248990E+00   0.172189E+04
   0.254020E+00   0.168716E+04
   0.259152E+00   0.164996E+04
   0.264387E+00   0.160896E+04
   0.269728E+00   0.156453E+04
   0.275177E+00   0.151746E+04
   0.280736E+00   0.147020E+04
   0.286407E+00   0.142469E+04
   0.292193E+00   0.138267E+04
   0.298096E+00   0.134553E+04
   0.304118E+00   0.131322E+04
   0.310261E+00   0.128411E+04
   0.316529E+00   0.125656E+04
   0.322923E+00   0.122908E+04
   0.329447E+00   0.120021E+04
   0.336102E+00   0.117001E+04
   0.342892E+00   0.113885E+04
   0.349819E+00   0.110830E+04
   0.356885E+00   0.107940E+04
   0.364095E+00   0.105309E+04
   0.371450E+00   0.102891E+04
   0.378954E+00   0.100668E+04
   0.386609E+00   0.985201E+03
   0.394419E+00   0.963459E+03
   0.402387E+00   0.941455E+03
   0.410516E+00   0.919329E+03
   0.418809E+00   0.897817E+03
   0.427269E+00   0.877356E+03
   0.435901E+00   0.858317E+03
   0.444706E+00   0.840378E+03
   0.453690E+00   0.823041E+03
   0.462855E+00   0.805981E+03
   0.472206E+00   0.788899E+03
   0.481745E+00   0.772129E+03
   0.491477E+00   0.756000E+03
   0.501405E+00   0.740579E+03
   0.511534E+00   0.725846E+03
   0.521868E+00   0.711608E+03
   0.532411E+00   0.697619E+03
   0.543166E+00   0.683880E+03
   0.554139E+00   0.670442E+03
   0.565333E+00   0.657499E+03
   0.576753E+00   0.644999E+03
   0.588404E+00   0.632855E+03
   0.600291E+00   0.620996E+03
   0.612418E+00   0.609367E+03
   0.624789E+00   0.598040E+03
   0.637411E+00   0.586998E+03
   0.650288E+00   0.576250E+03
   0.663424E+00   0.565769E+03
   0.676826E+00   0.555530E+03
   0.690499E+00   0.545508E+03
   0.704448E+00   0.535693E+03
   0.718679E+00   0.526077E+03
   0.733197E+00   0.516657E+03
   0.748009E+00   0.507426E+03
   0.763119E+00   0.498374E+03
   0.778536E+00   0.489490E+03
   0.794263E+00   0.480763E+03
   0.810308E+00   0.472184E+03
   0.826677E+00   0.463745E+03
   0.843378E+00   0.455440E+03
   0.860415E+00   0.447263E+03
   0.877797E+00   0.439208E+03
   0.895529E+00   0.431269E+03
   0.913620E+00   0.423438E+03
   0.932076E+00   0.415711E+03
   0.950906E+00   0.408080E+03
   0.970115E+00   0.400543E+03
   0.989713E+00   0.393095E+03
   0.100971E+01   0.385734E+03
   0.103010E+01   0.378456E+03
   0.105091E+01   0.371258E+03
   0.107214E+01   0.364136E+03
   0.109380E+01   0.357087E+03
   0.111590E+01   0.350109E+03
   0.113844E+01   0.343199E+03
   0.116144E+01   0.336359E+03
   0.118490E+01   0.329586E+03
   0.120884E+01   0.322879E+03
   0.123326E+01   0.316239E+03
   0.125817E+01   0.309664E+03
   0.128359E+01   0.303152E+03
   0.130952E+01   0.296703E+03
   0.133597E+01   0.290318E+03
   0.136296E+01   0.283999E+03
   0.139049E+01   0.277745E+03
   0.141858E+01   0.271557E+03
   0.144724E+01   0.265437E+03
   0.147648E+01   0.259383E+03
   0.150630E+01   0.253398E+03
   0.153673E+01   0.247482E+03
   0.156778E+01   0.241635E+03
   0.159945E+01   0.235861E+03
   0.163176E+01   0.230161E+03
   0.166472E+01   0.224534E+03
   0.169835E+01   0.218984E+03
   0.173266E+01   0.213510E+03
   0.176766E+01   0.208113E+03
   0.180337E+01   0.202795E+03
   0.183980E+01   0.197557E+03
   0.187697E+01   0.192401E+03
   0.191489E+01   0.187327E+03
   0.195357E+01   0.182336E+03
   0.199304E+01   0.177430E+03
   0.203330E+01   0.172609E+03
   0.207437E+01   0.167873E+03
   0.211628E+01   0.163223E+03
   0.215903E+01   0.158660E+03
   0.220265E+01   0.154185E+03
   0.224714E+01   0.149797E+03
   0.229254E+01   0.145496E+03
   0.233885E+01   0.141284E+03
   0.238610E+01   0.137160E+03
   0.243430E+01   0.133123E+03
   0.248348E+01   0.129174E+03
   0.253365E+01   0.125312E+03
   0.258483E+01   0.121537E+03
   0.263705E+01   0.117848E+03
   0.269032E+01   0.114245E+03
   0.274466E+01   0.110728E+03
   0.280011E+01   0.107295E+03
   0.285668E+01   0.103945E+03
   0.291439E+01   0.100679E+03
   0.297326E+01   0.974942E+02
   0.303332E+01   0.943907E+02
   0.309460E+01   0.913672E+02
   0.315712E+01   0.884227E+02
   0.322090E+01   0.855561E+02
   0.328596E+01   0.827663E+02
   0.335234E+01   0.800519E+02
   0.342006E+01   0.774119E+02
   0.348916E+01   0.748449E+02
   0.355964E+01   0.723497E+02
   0.363155E+01   0.699249E+02
   0.370491E+01   0.675694E+02
   0.377976E+01   0.652816E+02
   0.385611E+01   0.630604E+02
   0.393401E+01   0.609044E+02
   0.401348E+01   0.588123E+02
   0.409456E+01   0.567826E+02
   0.417727E+01   0.548142E+02
   0.426166E+01   0.529056E+02
   0.434775E+01   0.510556E+02
   0.443558E+01   0.492628E+02
   0.452519E+01   0.475259E+02
   0.461660E+01   0.458436E+02
   0.470987E+01   0.442146E+02
   0.480501E+01   0.426376E+02
   0.490208E+01   0.411112E+02
   0.500111E+01   0.396343E+02
   0.510214E+01   0.382054E+02
   0.520521E+01   0.368232E+02
   0.531036E+01   0.354862E+02
   0.541763E+01   0.341930E+02
   0.552708E+01   0.329423E+02
   0.563873E+01   0.317329E+02
   0.575264E+01   0.305635E+02
   0.586885E+01   0.294329E+02
   0.598741E+01   0.283398E+02
   0.610836E+01   0.272833E+02
   0.623176E+01   0.262621E+02
   0.635765E+01   0.252752E+02
   0.648609E+01   0.243220E+02
   0.661711E+01   0.234018E+02
   0.675079E+01   0.225139E+02
   0.688716E+01   0.216575E+02
   0.702629E+01   0.208318E+02
   0.716823E+01   0.200362E+02
   0.731304E+01   0.192699E+02
   0.746077E+01   0.185321E+02
   0.761149E+01   0.178219E+02
   0.776525E+01   0.171387E+02
