#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.250312E-03   0.197735E+08   0.197733E+08   0.195034E+08   0.193695E+08   0.197540E+08   0.197734E+08   0.197735E+08   0.197783E+08  -0.472701E+00   0.104395E+08   0.104395E+08   0.113227E+03
   0.276392E-03   0.197705E+08   0.197702E+08   0.182374E+08   0.180824E+08   0.197463E+08   0.197703E+08   0.197704E+08   0.197749E+08  -0.472613E+00   0.104379E+08   0.104378E+08   0.122741E+03
   0.305189E-03   0.197668E+08   0.197664E+08   0.167980E+08   0.166208E+08   0.197368E+08   0.197666E+08   0.197667E+08   0.197708E+08  -0.472507E+00   0.104359E+08   0.104358E+08   0.132541E+03
   0.336986E-03   0.197624E+08   0.197619E+08   0.151876E+08   0.149879E+08   0.197254E+08   0.197621E+08   0.197623E+08   0.197659E+08  -0.472381E+00   0.104335E+08   0.104334E+08   0.142463E+03
   0.372096E-03   0.197570E+08   0.197565E+08   0.134220E+08   0.132011E+08   0.197115E+08   0.197567E+08   0.197569E+08   0.197601E+08  -0.472230E+00   0.104306E+08   0.104305E+08   0.152283E+03
   0.410865E-03   0.197506E+08   0.197500E+08   0.115346E+08   0.112958E+08   0.196947E+08   0.197502E+08   0.197505E+08   0.197531E+08  -0.472050E+00   0.104272E+08   0.104270E+08   0.161719E+03
   0.453672E-03   0.197428E+08   0.197421E+08   0.958055E+07   0.932970E+07   0.196745E+08   0.197424E+08   0.197427E+08   0.197448E+08  -0.471837E+00   0.104230E+08   0.104228E+08   0.170419E+03
   0.500940E-03   0.197336E+08   0.197328E+08   0.763849E+07   0.738444E+07   0.196500E+08   0.197331E+08   0.197335E+08   0.197350E+08  -0.471586E+00   0.104180E+08   0.104177E+08   0.177979E+03
   0.553133E-03   0.197226E+08   0.197216E+08   0.580756E+07   0.556208E+07   0.196205E+08   0.197220E+08   0.197224E+08   0.197234E+08  -0.471292E+00   0.104120E+08   0.104117E+08   0.183954E+03
   0.610763E-03   0.197095E+08   0.197083E+08   0.419689E+07   0.397388E+07   0.195851E+08   0.197087E+08   0.197093E+08   0.197098E+08  -0.470948E+00   0.104050E+08   0.104046E+08   0.187898E+03
   0.674398E-03   0.196939E+08   0.196926E+08   0.290534E+07   0.271892E+07   0.195427E+08   0.196930E+08   0.196937E+08   0.196938E+08  -0.470548E+00   0.103966E+08   0.103962E+08   0.189411E+03
   0.744663E-03   0.196756E+08   0.196741E+08   0.199251E+07   0.185397E+07   0.194920E+08   0.196745E+08   0.196754E+08   0.196750E+08  -0.470084E+00   0.103867E+08   0.103863E+08   0.188210E+03
   0.822248E-03   0.196540E+08   0.196524E+08   0.144860E+07   0.136278E+07   0.194315E+08   0.196528E+08   0.196538E+08   0.196532E+08  -0.469547E+00   0.103751E+08   0.103747E+08   0.184182E+03
   0.907918E-03   0.196288E+08   0.196270E+08   0.117987E+07   0.114220E+07   0.193597E+08   0.196273E+08   0.196285E+08   0.196276E+08  -0.468925E+00   0.103616E+08   0.103611E+08   0.177431E+03
   0.100251E-02   0.195994E+08   0.195975E+08   0.103099E+07   0.102740E+07   0.192746E+08   0.195976E+08   0.195991E+08   0.195979E+08  -0.468207E+00   0.103458E+08   0.103453E+08   0.168275E+03
   0.110696E-02   0.195652E+08   0.195631E+08   0.855055E+06   0.866190E+06   0.191744E+08   0.195631E+08   0.195648E+08   0.195633E+08  -0.467375E+00   0.103275E+08   0.103269E+08   0.157187E+03
   0.122230E-02   0.195255E+08   0.195234E+08   0.603273E+06   0.612270E+06   0.190566E+08   0.195230E+08   0.195252E+08   0.195232E+08  -0.466413E+00   0.103063E+08   0.103057E+08   0.144719E+03
   0.134965E-02   0.194796E+08   0.194774E+08   0.357311E+06   0.356395E+06   0.189194E+08   0.194767E+08   0.194793E+08   0.194768E+08  -0.465301E+00   0.102818E+08   0.102813E+08   0.131446E+03
   0.149027E-02   0.194267E+08   0.194245E+08   0.233380E+06   0.223958E+06   0.187609E+08   0.194234E+08   0.194264E+08   0.194234E+08  -0.464021E+00   0.102536E+08   0.102531E+08   0.117982E+03
   0.164554E-02   0.193659E+08   0.193636E+08   0.221742E+06  -0.172421E+06   0.185791E+08   0.193620E+08   0.193655E+08   0.193620E+08  -0.462551E+00   0.102212E+08   0.102207E+08   0.105018E+03
   0.181698E-02   0.192961E+08   0.192939E+08   0.186261E+06  -0.140901E+06   0.183723E+08   0.192916E+08   0.192958E+08   0.192916E+08  -0.460868E+00   0.101841E+08   0.101836E+08   0.932289E+02
   0.200629E-02   0.192164E+08   0.192141E+08   0.901939E+05  -0.115083E+06   0.181391E+08   0.192112E+08   0.192161E+08   0.192112E+08  -0.458945E+00   0.101417E+08   0.101412E+08   0.830552E+02
   0.221533E-02   0.191256E+08   0.191233E+08   0.524564E+05  -0.939421E+05   0.178787E+08   0.191196E+08   0.191252E+08   0.191196E+08  -0.456755E+00   0.100934E+08   0.100929E+08   0.745588E+02
   0.244614E-02   0.190225E+08   0.190200E+08   0.595972E+05  -0.766350E+05   0.175907E+08   0.190157E+08   0.190221E+08   0.190157E+08  -0.454271E+00   0.100386E+08   0.100381E+08   0.675063E+02
   0.270100E-02   0.189059E+08   0.189033E+08   0.241605E+05  -0.624707E+05   0.172749E+08   0.188981E+08   0.189055E+08   0.188981E+08  -0.451462E+00   0.997661E+07   0.997611E+07   0.614503E+02
   0.298242E-02   0.187745E+08   0.187717E+08   0.245778E+05  -0.508833E+05   0.169312E+08   0.187657E+08   0.187740E+08   0.187657E+08  -0.448298E+00   0.990682E+07   0.990632E+07   0.558542E+02
   0.329315E-02   0.186270E+08   0.186240E+08   0.104421E+05  -0.414081E+05   0.165592E+08   0.186172E+08   0.186265E+08   0.186172E+08  -0.444749E+00   0.982852E+07   0.982803E+07   0.504421E+02
   0.363626E-02   0.184621E+08   0.184589E+08   0.449206E+04  -0.336641E+05   0.161582E+08   0.184512E+08   0.184616E+08   0.184512E+08  -0.440783E+00   0.974104E+07   0.974055E+07   0.452976E+02
   0.401512E-02   0.182785E+08   0.182750E+08  -0.303425E+04  -0.273387E+05   0.157269E+08   0.182665E+08   0.182780E+08   0.182665E+08  -0.436369E+00   0.964367E+07   0.964318E+07   0.407144E+02
   0.443345E-02   0.180749E+08   0.180710E+08   0.224326E+03  -0.221755E+05   0.152639E+08   0.180616E+08   0.180743E+08   0.180616E+08  -0.431476E+00   0.953572E+07   0.953523E+07   0.367994E+02
   0.489537E-02   0.178499E+08   0.178457E+08  -0.205345E+04  -0.179640E+05   0.147701E+08   0.178354E+08   0.178493E+08   0.178354E+08  -0.426071E+00   0.941649E+07   0.941600E+07   0.333140E+02
   0.540541E-02   0.176023E+08   0.175975E+08  -0.267748E+04  -0.145316E+05   0.142452E+08   0.175864E+08   0.176016E+08   0.175864E+08  -0.420123E+00   0.928528E+07   0.928479E+07   0.300364E+02
   0.596860E-02   0.173307E+08   0.173253E+08  -0.189798E+04  -0.117366E+05   0.136887E+08   0.173134E+08   0.173298E+08   0.173134E+08  -0.413601E+00   0.914138E+07   0.914090E+07   0.270801E+02
   0.659046E-02   0.170341E+08   0.170280E+08  -0.238584E+04  -0.946334E+04   0.130695E+08   0.170153E+08   0.170331E+08   0.170153E+08  -0.406478E+00   0.898424E+07   0.898376E+07   0.245196E+02
   0.727712E-02   0.167103E+08   0.167033E+08  -0.207761E+04  -0.761574E+04   0.124363E+08   0.166899E+08   0.167092E+08   0.166899E+08  -0.398706E+00   0.881275E+07   0.881226E+07   0.221846E+02
   0.803531E-02   0.163581E+08   0.163500E+08  -0.203263E+04  -0.611603E+04   0.117764E+08   0.163361E+08   0.163568E+08   0.163361E+08  -0.390254E+00   0.862625E+07   0.862576E+07   0.200957E+02
   0.887251E-02   0.159765E+08   0.159672E+08  -0.238872E+04  -0.490046E+04   0.110989E+08   0.159531E+08   0.159751E+08   0.159531E+08  -0.381104E+00   0.842430E+07   0.842382E+07   0.182527E+02
   0.979693E-02   0.155644E+08   0.155536E+08  -0.122266E+04  -0.391662E+04   0.104047E+08   0.155395E+08   0.155627E+08   0.155395E+08  -0.371222E+00   0.820621E+07   0.820572E+07   0.165942E+02
   0.108177E-01   0.151202E+08   0.151078E+08  -0.160693E+04  -0.312155E+04   0.969333E+07   0.150938E+08   0.151183E+08   0.150938E+08  -0.360576E+00   0.797122E+07   0.797073E+07   0.151449E+02
   0.119447E-01   0.146428E+08   0.146283E+08  -0.134966E+04  -0.248014E+04   0.897047E+07   0.146150E+08   0.146405E+08   0.146150E+08  -0.349137E+00   0.771868E+07   0.771819E+07   0.138424E+02
   0.131893E-01   0.141310E+08   0.141142E+08  -0.969146E+03  -0.196368E+04   0.824386E+07   0.141019E+08   0.141284E+08   0.141019E+08  -0.336880E+00   0.744806E+07   0.744756E+07   0.126993E+02
   0.145634E-01   0.135840E+08   0.135646E+08  -0.960159E+03  -0.154873E+04   0.752011E+07   0.135536E+08   0.135810E+08   0.135536E+08  -0.323783E+00   0.715887E+07   0.715836E+07   0.116823E+02
   0.160808E-01   0.130012E+08   0.129788E+08  -0.875795E+03  -0.121615E+04   0.680172E+07   0.129698E+08   0.129977E+08   0.129698E+08  -0.309834E+00   0.685083E+07   0.685031E+07   0.107778E+02
   0.177562E-01   0.123827E+08   0.123569E+08  -0.533677E+03  -0.950337E+03   0.609810E+07   0.123503E+08   0.123786E+08   0.123503E+08  -0.295037E+00   0.652400E+07   0.652347E+07   0.996151E+01
   0.196062E-01   0.117295E+08   0.117002E+08  -0.508504E+03  -0.738590E+03   0.541484E+07   0.116965E+08   0.117249E+08   0.116965E+08  -0.279416E+00   0.617894E+07   0.617840E+07   0.921681E+01
   0.216490E-01   0.110442E+08   0.110111E+08  -0.356358E+03  -0.570581E+03   0.475900E+07   0.110107E+08   0.110390E+08   0.110107E+08  -0.263034E+00   0.581699E+07   0.581644E+07   0.852258E+01
   0.239046E-01   0.103312E+08   0.102944E+08  -0.296540E+03  -0.437919E+03   0.413740E+07   0.102975E+08   0.103254E+08   0.102975E+08  -0.245997E+00   0.544054E+07   0.543998E+07   0.785440E+01
   0.263952E-01   0.959773E+07   0.955740E+07  -0.234032E+03  -0.333786E+03   0.355692E+07   0.956419E+07   0.959139E+07   0.956419E+07  -0.228479E+00   0.505340E+07   0.505283E+07   0.719342E+01
   0.291453E-01   0.885428E+07   0.881099E+07  -0.148368E+03  -0.252642E+03   0.302324E+07   0.882123E+07   0.884748E+07   0.882123E+07  -0.210730E+00   0.466112E+07   0.466054E+07   0.651866E+01
   0.321819E-01   0.811496E+07   0.806963E+07  -0.159838E+03  -0.189971E+03   0.254162E+07   0.808275E+07   0.810784E+07   0.808275E+07  -0.193088E+00   0.427115E+07   0.427059E+07   0.581439E+01
   0.355349E-01   0.739722E+07   0.735124E+07  -0.950268E+02  -0.142076E+03   0.211588E+07   0.736622E+07   0.739000E+07   0.736622E+07  -0.175971E+00   0.389273E+07   0.389219E+07   0.507205E+01
   0.392372E-01   0.672060E+07   0.667575E+07  -0.698404E+02  -0.105905E+03   0.174794E+07   0.669117E+07   0.671355E+07   0.669117E+07  -0.159845E+00   0.353619E+07   0.353568E+07   0.429406E+01
   0.433253E-01   0.610390E+07   0.606224E+07  -0.774831E+02  -0.789190E+02   0.143728E+07   0.607635E+07   0.609735E+07   0.607635E+07  -0.145158E+00   0.321142E+07   0.321097E+07   0.349766E+01
   0.476579E-01   0.557859E+07   0.554188E+07  -0.584721E+02  -0.596317E+02   0.118900E+07   0.555306E+07   0.557282E+07   0.555306E+07  -0.132657E+00   0.293499E+07   0.293460E+07   0.274625E+01
   0.519904E-01   0.516473E+07   0.513380E+07  -0.455054E+02  -0.464076E+02   0.100167E+07   0.514113E+07   0.515987E+07   0.514113E+07  -0.122816E+00   0.271738E+07   0.271705E+07   0.211082E+01
   0.563229E-01   0.482820E+07   0.480303E+07  -0.362610E+02  -0.369797E+02   0.856129E+06   0.480636E+07   0.482425E+07   0.480636E+07  -0.114819E+00   0.254052E+07   0.254025E+07   0.160278E+01
   0.606555E-01   0.454294E+07   0.452282E+07  -0.294288E+02  -0.300119E+02   0.739634E+06   0.452265E+07   0.453978E+07   0.452265E+07  -0.108041E+00   0.239063E+07   0.239041E+07   0.122322E+01
   0.649880E-01   0.428936E+07   0.427309E+07  -0.242121E+02  -0.246918E+02   0.643672E+06   0.427039E+07   0.428681E+07   0.427039E+07  -0.102015E+00   0.225734E+07   0.225716E+07   0.962484E+00
   0.693205E-01   0.405122E+07   0.403738E+07  -0.201036E+02  -0.205018E+02   0.562293E+06   0.403333E+07   0.404904E+07   0.403333E+07  -0.963520E-01   0.213209E+07   0.213192E+07   0.801988E+00
   0.736531E-01   0.381649E+07   0.380368E+07  -0.167793E+02  -0.171116E+02   0.491502E+06   0.379950E+07   0.381448E+07   0.379950E+07  -0.907660E-01   0.200852E+07   0.200837E+07   0.717599E+00
   0.779856E-01   0.358147E+07   0.356857E+07  -0.140469E+02  -0.143250E+02   0.429218E+06   0.356525E+07   0.357945E+07   0.356525E+07  -0.851701E-01   0.188473E+07   0.188457E+07   0.683729E+00
   0.823181E-01   0.334922E+07   0.333548E+07  -0.117905E+02  -0.120239E+02   0.374529E+06   0.333366E+07   0.334706E+07   0.333366E+07  -0.796377E-01   0.176234E+07   0.176218E+07   0.676500E+00
   0.866507E-01   0.312609E+07   0.311120E+07  -0.993248E+01  -0.101291E+02   0.327008E+06   0.311115E+07   0.312375E+07   0.311115E+07  -0.743221E-01   0.164474E+07   0.164456E+07   0.676151E+00
   0.909832E-01   0.291828E+07   0.290234E+07  -0.841037E+01  -0.857681E+01   0.286231E+06   0.290393E+07   0.291578E+07   0.290393E+07  -0.693717E-01   0.153522E+07   0.153503E+07   0.668505E+00
   0.963719E-01   0.268840E+07   0.267178E+07  -0.690586E+01  -0.704250E+01   0.244130E+06   0.267478E+07   0.268579E+07   0.267478E+07  -0.638977E-01   0.141410E+07   0.141392E+07   0.637248E+00
   0.101761E+00   0.249602E+07   0.247969E+07  -0.575099E+01  -0.586476E+01   0.210516E+06   0.248316E+07   0.249345E+07   0.248316E+07  -0.593202E-01   0.131282E+07   0.131264E+07   0.579475E+00
   0.107149E+00   0.234265E+07   0.232756E+07  -0.486892E+01  -0.496523E+01   0.184045E+06   0.233056E+07   0.234028E+07   0.233056E+07  -0.556746E-01   0.123215E+07   0.123199E+07   0.502127E+00
   0.112538E+00   0.222294E+07   0.220977E+07  -0.418893E+01  -0.427178E+01   0.163116E+06   0.221160E+07   0.222087E+07   0.221160E+07  -0.528328E-01   0.116927E+07   0.116913E+07   0.417398E+00
   0.117927E+00   0.212621E+07   0.211518E+07  -0.364950E+01  -0.372168E+01   0.146083E+06   0.211556E+07   0.212448E+07   0.211556E+07  -0.505385E-01   0.111851E+07   0.111839E+07   0.338004E+00
   0.123316E+00   0.204062E+07   0.203152E+07  -0.320372E+01  -0.326708E+01   0.131571E+06   0.203059E+07   0.203919E+07   0.203059E+07  -0.485087E-01   0.107359E+07   0.107349E+07   0.273676E+00
   0.128704E+00   0.195673E+07   0.194903E+07  -0.282055E+01  -0.287633E+01   0.118641E+06   0.194724E+07   0.195552E+07   0.194724E+07  -0.465175E-01   0.102953E+07   0.102944E+07   0.229283E+00
   0.134093E+00   0.186912E+07   0.186215E+07  -0.248231E+01  -0.253139E+01   0.106777E+06   0.186009E+07   0.186803E+07   0.186009E+07  -0.444356E-01   0.983460E+06   0.983378E+06   0.204595E+00
   0.139482E+00   0.177661E+07   0.176973E+07  -0.218075E+01  -0.222387E+01   0.957956E+05   0.176796E+07   0.177553E+07   0.176796E+07  -0.422347E-01   0.934758E+06   0.934676E+06   0.195361E+00
   0.144871E+00   0.168119E+07   0.167396E+07  -0.191296E+01  -0.195079E+01   0.857063E+05   0.167287E+07   0.168006E+07   0.167287E+07  -0.399631E-01   0.884489E+06   0.884404E+06   0.195141E+00
   0.150259E+00   0.158666E+07   0.157890E+07  -0.167819E+01  -0.171137E+01   0.765971E+05   0.157864E+07   0.158545E+07   0.157864E+07  -0.377122E-01   0.834676E+06   0.834587E+06   0.197288E+00
   0.155648E+00   0.149769E+07   0.148949E+07  -0.147625E+01  -0.150543E+01   0.685719E+05   0.148997E+07   0.149640E+07   0.148997E+07  -0.355937E-01   0.787795E+06   0.787703E+06   0.196578E+00
   0.161037E+00   0.141875E+07   0.141038E+07  -0.130640E+01  -0.133222E+01   0.616963E+05   0.141132E+07   0.141743E+07   0.141132E+07  -0.337150E-01   0.746218E+06   0.746127E+06   0.190122E+00
   0.166425E+00   0.135241E+07   0.134424E+07  -0.116600E+01  -0.118904E+01   0.559371E+05   0.134529E+07   0.135112E+07   0.134529E+07  -0.321375E-01   0.711307E+06   0.711218E+06   0.177487E+00
   0.171814E+00   0.129823E+07   0.129059E+07  -0.105024E+01  -0.107100E+01   0.511401E+05   0.129142E+07   0.129703E+07   0.129142E+07  -0.308506E-01   0.682826E+06   0.682744E+06   0.160192E+00
   0.177203E+00   0.125348E+07   0.124658E+07  -0.953377E+00  -0.972221E+00   0.470854E+05   0.124696E+07   0.125239E+07   0.124696E+07  -0.297886E-01   0.659323E+06   0.659248E+06   0.140872E+00
   0.182592E+00   0.121471E+07   0.120861E+07  -0.870245E+00  -0.887445E+00   0.435624E+05   0.120848E+07   0.121375E+07   0.120848E+07  -0.288692E-01   0.638976E+06   0.638909E+06   0.122373E+00
   0.187980E+00   0.117860E+07   0.117321E+07  -0.796730E+00  -0.812476E+00   0.403970E+05   0.117263E+07   0.117775E+07   0.117263E+07  -0.280128E-01   0.620022E+06   0.619962E+06   0.106969E+00
   0.193369E+00   0.114222E+07   0.113734E+07  -0.729754E+00  -0.744176E+00   0.374559E+05   0.113648E+07   0.114146E+07   0.113648E+07  -0.271493E-01   0.600912E+06   0.600856E+06   0.958828E-01
   0.198758E+00   0.110368E+07   0.109906E+07  -0.667437E+00  -0.680628E+00   0.346591E+05   0.109814E+07   0.110295E+07   0.109814E+07  -0.262333E-01   0.580639E+06   0.580586E+06   0.891843E-01
   0.204147E+00   0.106269E+07   0.105813E+07  -0.609181E+00  -0.621220E+00   0.319880E+05   0.105733E+07   0.106198E+07   0.105733E+07  -0.252586E-01   0.559068E+06   0.559015E+06   0.860028E-01
   0.209535E+00   0.102043E+07   0.101578E+07  -0.555249E+00  -0.566222E+00   0.294680E+05   0.101524E+07   0.101970E+07   0.101524E+07  -0.242530E-01   0.536811E+06   0.536758E+06   0.849222E-01
   0.214924E+00   0.978666E+06   0.973854E+06  -0.506141E+00  -0.516143E+00   0.271367E+05   0.973625E+06   0.977910E+06   0.973625E+06  -0.232589E-01   0.514810E+06   0.514755E+06   0.844223E-01
   0.220313E+00   0.939144E+06   0.934212E+06  -0.462222E+00  -0.471355E+00   0.250250E+05   0.934252E+06   0.938369E+06   0.934252E+06  -0.223183E-01   0.493993E+06   0.493938E+06   0.832579E-01
   0.225702E+00   0.903273E+06   0.898322E+06  -0.423587E+00  -0.431957E+00   0.231490E+05   0.898532E+06   0.902495E+06   0.898532E+06  -0.214650E-01   0.475107E+06   0.475052E+06   0.806985E-01
   0.231090E+00   0.871808E+06   0.866962E+06  -0.389991E+00  -0.397696E+00   0.215054E+05   0.867218E+06   0.871047E+06   0.867218E+06  -0.207169E-01   0.458551E+06   0.458497E+06   0.765932E-01
   0.236479E+00   0.844671E+06   0.840047E+06  -0.360837E+00  -0.367967E+00   0.200704E+05   0.840231E+06   0.843945E+06   0.840231E+06  -0.200722E-01   0.444282E+06   0.444232E+06   0.712811E-01
   0.241868E+00   0.821094E+06   0.816769E+06  -0.335324E+00  -0.341950E+00   0.188069E+05   0.816802E+06   0.820415E+06   0.816802E+06  -0.195125E-01   0.431894E+06   0.431847E+06   0.654020E-01
   0.247256E+00   0.799918E+06   0.795913E+06  -0.312607E+00  -0.318784E+00   0.176735E+05   0.795766E+06   0.799288E+06   0.795766E+06  -0.190100E-01   0.420772E+06   0.420727E+06   0.596731E-01
   0.252645E+00   0.779847E+06   0.776134E+06  -0.291915E+00  -0.297683E+00   0.166312E+05   0.775826E+06   0.779264E+06   0.775826E+06  -0.185337E-01   0.410229E+06   0.410188E+06   0.546903E-01
   0.258034E+00   0.759749E+06   0.756259E+06  -0.272648E+00  -0.278035E+00   0.156489E+05   0.755850E+06   0.759201E+06   0.755850E+06  -0.180565E-01   0.399667E+06   0.399627E+06   0.508024E-01
   0.263423E+00   0.738979E+06   0.735627E+06  -0.254461E+00  -0.259488E+00   0.147097E+05   0.735190E+06   0.738452E+06   0.735190E+06  -0.175629E-01   0.388743E+06   0.388705E+06   0.480727E-01
   0.268811E+00   0.717507E+06   0.714216E+06  -0.237262E+00  -0.241950E+00   0.138102E+05   0.713821E+06   0.716990E+06   0.713821E+06  -0.170524E-01   0.377444E+06   0.377407E+06   0.463175E-01
